,Date,Cases_Sum,State,Cases_Day
0,1/22/20,0,AK,0.0
1,1/23/20,0,AK,0.0
2,1/24/20,0,AK,0.0
3,1/25/20,0,AK,0.0
4,1/26/20,0,AK,0.0
5,1/27/20,0,AK,0.0
6,1/28/20,0,AK,0.0
7,1/29/20,0,AK,0.0
8,1/30/20,0,AK,0.0
9,1/31/20,0,AK,0.0
10,2/1/20,0,AK,0.0
11,2/2/20,0,AK,0.0
12,2/3/20,0,AK,0.0
13,2/4/20,0,AK,0.0
14,2/5/20,0,AK,0.0
15,2/6/20,0,AK,0.0
16,2/7/20,0,AK,0.0
17,2/8/20,0,AK,0.0
18,2/9/20,0,AK,0.0
19,2/10/20,0,AK,0.0
20,2/11/20,0,AK,0.0
21,2/12/20,0,AK,0.0
22,2/13/20,0,AK,0.0
23,2/14/20,0,AK,0.0
24,2/15/20,0,AK,0.0
25,2/16/20,0,AK,0.0
26,2/17/20,0,AK,0.0
27,2/18/20,0,AK,0.0
28,2/19/20,0,AK,0.0
29,2/20/20,0,AK,0.0
30,2/21/20,0,AK,0.0
31,2/22/20,0,AK,0.0
32,2/23/20,0,AK,0.0
33,2/24/20,0,AK,0.0
34,2/25/20,0,AK,0.0
35,2/26/20,0,AK,0.0
36,2/27/20,0,AK,0.0
37,2/28/20,0,AK,0.0
38,2/29/20,0,AK,0.0
39,3/1/20,0,AK,0.0
40,3/2/20,0,AK,0.0
41,3/3/20,0,AK,0.0
42,3/4/20,0,AK,0.0
43,3/5/20,0,AK,0.0
44,3/6/20,0,AK,0.0
45,3/7/20,0,AK,0.0
46,3/8/20,0,AK,0.0
47,3/9/20,0,AK,0.0
48,3/10/20,0,AK,0.0
49,3/11/20,0,AK,0.0
50,3/12/20,1,AK,1.0
51,3/13/20,1,AK,0.0
52,3/14/20,1,AK,0.0
53,3/15/20,1,AK,0.0
54,3/16/20,3,AK,2.0
55,3/17/20,6,AK,3.0
56,3/18/20,6,AK,0.0
57,3/19/20,10,AK,4.0
58,3/20/20,13,AK,3.0
59,3/21/20,15,AK,2.0
60,3/22/20,23,AK,8.0
61,3/23/20,37,AK,14.0
62,3/24/20,42,AK,5.0
63,3/25/20,59,AK,17.0
64,3/26/20,69,AK,10.0
65,3/27/20,85,AK,16.0
66,3/28/20,102,AK,17.0
67,3/29/20,114,AK,12.0
68,3/30/20,119,AK,5.0
69,3/31/20,133,AK,14.0
70,4/1/20,142,AK,9.0
71,4/2/20,147,AK,5.0
72,4/3/20,157,AK,10.0
73,4/4/20,171,AK,14.0
74,4/5/20,185,AK,14.0
75,4/6/20,191,AK,6.0
76,4/7/20,213,AK,22.0
77,4/8/20,226,AK,13.0
78,4/9/20,236,AK,10.0
79,4/10/20,247,AK,11.0
80,4/11/20,258,AK,11.0
81,4/12/20,273,AK,15.0
82,4/13/20,278,AK,5.0
83,4/14/20,286,AK,8.0
84,4/15/20,294,AK,8.0
85,4/16/20,301,AK,7.0
86,4/17/20,310,AK,9.0
87,4/18/20,315,AK,5.0
88,4/19/20,320,AK,5.0
89,4/20/20,322,AK,2.0
90,4/21/20,330,AK,8.0
91,4/22/20,336,AK,6.0
92,4/23/20,338,AK,2.0
93,4/24/20,340,AK,2.0
94,4/25/20,340,AK,0.0
95,4/26/20,342,AK,2.0
96,4/27/20,346,AK,4.0
97,4/28/20,352,AK,6.0
98,4/29/20,356,AK,4.0
